,X,Y,t_datetime_x,t_days,u,p_acum_30d,p_acum_60d,p_acum_90d
1496,4708557.902081565,2253743.2853538976,2022-07-05,132.0,-0.007992934,195.28997588157654,493.422648191452,633.2352777719498
1497,4708597.925424048,2253743.132152119,2022-07-05,132.0,-0.013681001,195.28997588157654,493.422648191452,633.2352777719498
1498,4708157.51497578,2253704.793941322,2022-07-05,132.0,-0.010387662,195.28997588157654,493.422648191452,633.2352777719498
1499,4708357.632039676,2253704.0279731727,2022-07-05,132.0,-0.0135997,195.28997588157654,493.422648191452,633.2352777719498
1500,4708397.655426123,2253703.874779779,2022-07-05,132.0,-0.013826865,195.28997588157654,493.422648191452,633.2352777719498
1501,4708437.678803793,2253703.7215864635,2022-07-05,132.0,-0.012529437,195.28997588157654,493.422648191452,633.2352777719498
1502,4708477.7021726845,2253703.5683932267,2022-07-05,132.0,-0.009562541,195.28997588157654,493.422648191452,633.2352777719498
1503,4708517.7255328,2253703.4152000686,2022-07-05,132.0,-0.0151394205,195.28997588157654,493.422648191452,633.2352777719498
1504,4708557.748884137,2253703.262006989,2022-07-05,132.0,-0.008848758,195.28997588157654,493.422648191452,633.2352777719498
1505,4708597.772226698,2253703.108813988,2022-07-05,132.0,-0.01976234,195.28997588157654,493.422648191452,633.2352777719498
1506,4708637.79556048,2253702.9556210656,2022-07-05,132.0,-0.01459252,195.28997588157654,493.422648191452,633.2352777719498
1507,4708117.338347151,2253664.92369165,2022-07-05,132.0,-0.0085437745,195.28997588157654,493.422648191452,633.2352777719498
1508,4708157.361786341,2253664.7705065613,2022-07-05,132.0,-0.018365197,195.28997588157654,493.422648191452,633.2352777719498
1509,4708197.385216755,2253664.617321552,2022-07-05,132.0,-0.0089382725,195.28997588157654,493.422648191452,633.2352777719498
1510,4708357.47885063,2253664.0045822994,2022-07-05,132.0,-0.006541953,195.28997588157654,493.422648191452,633.2352777719498
1511,4708397.502237156,2253663.8513976824,2022-07-05,132.0,-0.014742767,195.28997588157654,493.422648191452,633.2352777719498
1512,4708437.525614903,2253663.6982131447,2022-07-05,132.0,-0.013561111,195.28997588157654,493.422648191452,633.2352777719498
1513,4708477.548983876,2253663.545028685,2022-07-05,132.0,-0.011361372,195.28997588157654,493.422648191452,633.2352777719498
1514,4708517.572344069,2253663.3918443043,2022-07-05,132.0,-0.014507788,195.28997588157654,493.422648191452,633.2352777719498
1515,4708557.595695485,2253663.238660002,2022-07-05,132.0,-0.0120566245,195.28997588157654,493.422648191452,633.2352777719498
1516,4708597.6190381255,2253663.085475778,2022-07-05,132.0,-0.013492905,195.28997588157654,493.422648191452,633.2352777719498
1517,4708637.642371986,2253662.932291633,2022-07-05,132.0,-0.017896453,195.28997588157654,493.422648191452,633.2352777719498
